product_id,estimated_stock_pct,quantity,temperature,unit_price,timestamp_day_of_month,timestamp_day_of_week,timestamp_hour,category_baby products,category_baked goods,category_baking,category_beverages,category_canned foods,category_cheese,category_cleaning products,category_condiments and sauces,category_dairy,category_frozen,category_fruit,category_kitchen,category_meat,category_medicine,category_packaged foods,category_personal care,category_pets,category_refrigerated items,category_seafood,category_snacks,category_spices and herbs,category_vegetables
00e120bb-89d6-4df5-bc48-a051148e3d03,0.89,3.0,-0.028849840255591022,11.19,1,1,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
01f3cdd9-8e9e-4dff-9b5c-69698a0388d0,0.14,3.0,-0.028849840255591022,1.49,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
01ff0803-ae73-4234-971d-5713c97b7f4b,0.67,0.0,-0.028849840255591022,14.19,1,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0363eb21-8c74-47e1-a216-c37e565e5ceb,0.82,0.0,-0.028849840255591022,20.19,1,1,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03f0b20e-3b5b-444f-bc39-cdfa2523d4bc,0.05,0.0,-0.028849840255591022,8.19,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0998699f-2fec-454e-b8b0-4f701947fef6,0.1,0.0,-0.028849840255591022,15.99,1,1,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0cb046e3-a86b-47ae-9751-3b0f9c596f99,0.83,0.0,-0.028849840255591022,11.19,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0cc2986e-934c-447e-8f7b-a57b2ceb8693,0.67,0.0,-0.028849840255591022,16.19,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0ddc2379-adba-4fb0-aa97-19fcafc738a1,0.35,3.0,-0.028849840255591022,3.99,1,1,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0ec3890d-f4be-48a4-9358-291b3da7f578,0.9199999999999999,0.0,-0.028849840255591022,4.99,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0f80f0b5-2488-46e1-a8b7-8bb24be25a40,0.35,0.0,-0.028849840255591022,13.19,1,1,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
100ab1ec-39f5-41bd-984f-485039575827,0.17333333333333334,0.0,-0.028849840255591022,19.99,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
107cb949-f28d-4a4d-969b-05d17f0f53a8,0.335,0.0,-0.028849840255591022,20.49,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
146d5e4d-992a-4db7-904d-b8af359b80a7,0.48,1.0,-0.028849840255591022,8.19,1,1,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14736243-d346-438f-9535-d80fcb9f3882,0.67,6.0,-0.028849840255591022,1.49,1,1,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1648aa68-761e-439c-88d0-9e4163103fef,0.92,0.0,-0.028849840255591022,16.99,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1862b01f-6852-447c-9c36-5e50f1def7ab,0.345,0.0,-0.028849840255591022,8.49,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
19ab62ef-c7aa-4035-a0fc-7c7d64721cda,0.76,0.0,-0.028849840255591022,18.19,1,1,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1af1cbf1-e439-4cb4-937f-be983d8ffd29,0.735,0.0,-0.028849840255591022,16.49,1,1,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1c459fbc-e9b9-43a3-91ef-e4f2d733ea4b,0.17,0.0,-0.028849840255591022,16.19,1,1,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1cf0b205-85d0-4f17-86e7-5f4a3b309f5e,0.88,3.0,-0.028849840255591022,8.19,1,1,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
